excerpt_num,type,fake_real,ambiguity,code,unemotional_emotional,irrelevant_relevant,topic,stimulus,excerpt_words
3,HUMAN,fake,obvious,FEI,E,I,economy,"The ban of eating cows in China has sparked a massive increase in prices of other meats, as a large protein option is now off the menu for many. In fact, several restaurants that specialize in it were forced to close down as their main livelihood or signature dishes were now a crime to serve. Outrage reports have been increasing, with many citizens claiming that the immediate ban has caused widespread hysterics and even caused mass depression amongst those whose livelihoods have been destroyed by this implementation. While the government remains quiet on the next steps for this action, one thing is for sure - no more mooing will be heard in stores for a while.",116
5,HUMAN,fake,ambiguous,FEI,E,I,economy,"South Korea's debts had been increasing, which led to a net negative of economic growth during the Covid-19 period. The GDP had also seen a new low for the past 20 years. Prime Minister, Kim Hyun Jin said that the increasing debts South Korea had accumulated was not something that happened overnight. It was mentioned that the Government had been giving out monetary incentives to young and unemployed citizens and small business owners during the Covid-19 period. These incentives were used to help the citizens in need to tide over the difficult times. However, after investigations, it was found that some business owners had been giving untrue ledgers. They declared less income than they supposedly generated, so as to be eligible for the grants. According to investigations, the total amount that was wrongfully given to small business owners was a whopping 1000 billion Korean Won.",145
20,HUMAN,fake,ambiguous,FEI,E,I,science,"Researchers at NTU have recently discovered a new type of wheel tread which reduces the risk of hydroplaning during the torrential downpours common to the Singapore climate. This announcement comes just in time for the wet season, which is expected to begin in just a few short weeks. The wheel tread in question has been fashioned from styrene-butadiene rubber, commonly used in all tires. The tread features an asymmetrical pattern which can be observed to be unusual for your typical Toyota. The tire features a typical symmetrical tread along the inner portion of the tire, with a mickey-mouse pattern engraved on the outer portion. While the mickey-mouse pattern may have been a cheeky contribution from the engineering department, it is understood that the same principles may be applied to commercial tires with the same result.",135
21,HUMAN,fake,ambiguous,FEI,E,I,science,"The Chinese government has recently released a new app that determines an individual's likelihood of criminal activity. This app, which will be automatically downloaded to all smartphones and computerized devices, logs a user's Internet data and search history, chat messages and social media usage, and purchases. All the above data is filtered through the app's cutting-edge algorithm, assigning a statistic to each individual. Individuals with a greater than 50% chance of committing criminal activity will be assigned to a watchlist and be monitored on the regular by Chinese police. A policy was recently passed to set this new scientific breakthrough into effect as of 2024. This decision was met with outrage by the general public. Many decried the app as invasive and downright illegal, with the possibility of machine errors. Others, however, cited feeling safer thanks to the app's ability to deter crime.",143
28,HUMAN,fake,ambiguous,FEI,E,I,social,"Malaysia announced having arrested 120 people in its largest anti-organ harvesting crackdown. The ring which was operating from a small village in the Ipoh prefecture, is said to have kidnapped more than 70 people in less than 6 months, reselling their organs on the black market. The Malaysian commissioner reported that the investigation is in its early stages and they fear that they might discover that the trafficking was operating at a wider level, even often with the support of families of the kidnapped persons. This indicates a wider social issue where the consequences of the Covid lockdown have forced a major part of the rural population to fall under the poverty line. Without resources and little economic prospects, many families have turned to unethical and criminal activities.",128
37,HUMAN,fake,obvious,FER,E,R,politics,"The Singapore government has decided to lower the interest rates on all three CPF accounts and increase the contribution rate from individuals and businesses. The first part of the policy will roll out starting next Monday, while the second part of it will only be implemented the following month to prepare Singaporeans for the change. Reasons for this move are unclear, but speculation has to do with the increasing public debt that Singapore has been facing since the Covid pandemic. A need to reduce public spending and a misallocation of the government budget has resulted in the government needing new ways to fund other development projects and investments. Many Singaporeans are furious at the change, especially the older ones. Some are now rushing to withdraw their money so that they can reinvest it in other more profitable areas. The younger generation expresses dissatisfaction with it, but feels that they are stuck with no choice as they have to contribute to it anyway. Businesses are angered and are trying to shift the increase to the following fiscal year.",177
51,HUMAN,fake,ambiguous,FER,E,R,science,"Singapore's ComfortDelgro has just announced the introduction of self-driving vehicles in Singapore. The Land and Transport Authority just confirmed that it granted a license to the well-known cab company for a pilot experiment that could lead to the generalization of self-driving vehicles. Though the response is highly positive from passengers, increasing concerns have been voiced regarding the potential impact on the current 16,000 taxi uncles staffing the company. Mr. Wei Lim, driving with Comfort for more than 20 years, said: ""In the name of progress and profit-seeking we often forget that there are people behind the wheel. I don't know how I will support my family if I cannot continue to drive a car. I have driven all my life and have not developed other skills."". 
 
 When confronted by our reporters, ComfortDelgro said that they have no plan yet to replace their employees with self-driving vehicles, however, the cost pressure has increased drastically during and after Covid-19  and the current model with competition from Private Hire Vehicles is not sustainable anymore.",173
59,HUMAN,fake,obvious,FER,E,R,social,"Presidential candidate Lim Chee Bai has come under fire online for making comments that could be perceived as discriminatory towards Muslims and Indians. Lim, 54, spoke on the ""SG Bros Podcast"" and said that he believed he should be elected because ""Chinese people are more sensible at handling difficult decisions"". Given the already large majority of Chinese people in the Singaporean government, this statement has led to outrage from the public. Many called for Lim to be removed from the race as a result of making publicly racist statements. One online commenter said, ""Lim Chee Bai really lives up to his name. Is he trying to start a racial riot in SG again?"" Despite the majority of Singaporeans reacting against Lim, there is a minority who voice their agreement with his comments. One comment reads, ""See lah, see how all the non-Chinese comments react, so crazy, and you wonder why he said this"". Lim has declined to comment since the incident and no response has been made from the government on Lim's candidacy as of yet.",176
70,HUMAN,fake,ambiguous,FUI,U,I,economy,"The US has reported that 8 out of 10 Americans are unemployed. The recent spike in unemployment numbers can be attributed to the economic downturn - firms are struggling to keep up with inflation and the lack of demand for their services. Americans, as a result, are turning to other forms of employment such as food delivery. However, the average spending of Americans has decreased greatly due to the economic recession and demand for food delivery services has dropped greatly too. This leaves many Americans stressed in the face of the rising cost of living and the lack of a stable income.",102
79,HUMAN,fake,ambiguous,FUI,U,I,politics,"In Japan, there exists a policy that stipulates that employers are not allowed to fire their employees even though they are found to be slacking during their work. Although it seems to be quite unreasonable, there is rarely any opposite voice from the employers. Thus, the employers come out with other ways to deal with this existing policy. Once they find that the employee does not provide enough value that the company needs, they will arrange for the employee to shift to other locations that are quite far from their place of residency. This causes the employees to be quite hassled to commute for a longer time to reach the office. In the end, the employee will be unable to withstand the difficulties encountered and will choose to resign themselves. Ultimately, the company achieves its goal.",136
